,Unnamed: 0,car:1,motorcycle:2,person:3,car:4,person:5,motorcycle:6,car:7,truck:4,person:4,car:8,car:10,car:13,motorcycle:10,car:15,person:8,truck:13
3,car:4,1036.0,2042,2028,0.0,1460,1458.0,,,,,,,,,,
4,person:5,424.0,647,567,1460.0,0,116.0,,,,,,,,,,
5,motorcycle:6,430.0,601,588,1458.0,116,0.0,,,,,,,,,,
0,car:1,0.0,1037,995,1043.0,426,430.0,,,,,,,,,,
1,motorcycle:2,1037.0,0,344,2057.0,655,611.0,,,,,,,,,,
2,person:3,995.0,344,0,2038.0,568,587.0,,,,,,,,,,
3,car:4,1043.0,2057,2038,0.0,1469,1467.0,,,,,,,,,,
4,person:5,426.0,655,568,1469.0,0,111.0,,,,,,,,,,
5,motorcycle:6,430.0,611,587,1467.0,111,0.0,,,,,,,,,,
0,car:1,0.0,1042,996,1050.0,429,432.0,,,,,,,,,,
1,motorcycle:2,1042.0,0,343,2068.0,655,612.0,,,,,,,,,,
2,person:3,996.0,343,0,2046.0,566,587.0,,,,,,,,,,
3,car:4,1050.0,2068,2046,0.0,1479,1475.0,,,,,,,,,,
4,person:5,429.0,655,566,1479.0,0,115.0,,,,,,,,,,
5,motorcycle:6,432.0,612,587,1475.0,115,0.0,,,,,,,,,,
0,car:1,0.0,701,676,259.0,319,330.0,,,,,,,,,,
1,motorcycle:2,701.0,0,191,956.0,404,372.0,,,,,,,,,,
2,person:3,676.0,191,0,935.0,357,377.0,,,,,,,,,,
3,car:4,259.0,956,935,0.0,578,584.0,,,,,,,,,,
4,person:5,319.0,404,357,578.0,0,104.0,,,,,,,,,,
5,motorcycle:6,330.0,372,377,584.0,104,0.0,,,,,,,,,,
0,car:1,0.0,1048,999,1055.0,430,433.0,,,,,,,,,,
1,motorcycle:2,1048.0,0,352,2078.0,662,617.0,,,,,,,,,,
2,person:3,999.0,352,0,2054.0,569,589.0,,,,,,,,,,
3,car:4,1055.0,2078,2054,0.0,1485,1481.0,,,,,,,,,,
4,person:5,430.0,662,569,1485.0,0,113.0,,,,,,,,,,
5,motorcycle:6,433.0,617,589,1481.0,113,0.0,,,,,,,,,,
0,car:1,0.0,1047,1001,1062.0,426,432.0,,,,,,,,,,
1,motorcycle:2,1047.0,0,352,2084.0,662,616.0,,,,,,,,,,
2,person:3,1001.0,352,0,2063.0,575,594.0,,,,,,,,,,
3,car:4,1062.0,2084,2063,0.0,1488,1487.0,,,,,,,,,,
4,person:5,426.0,662,575,1488.0,0,113.0,,,,,,,,,,
5,motorcycle:6,432.0,616,594,1487.0,113,0.0,,,,,,,,,,
0,car:1,0.0,1050,1004,1070.0,424,431.0,,,,,,,,,,
1,motorcycle:2,1050.0,0,356,2095.0,668,621.0,,,,,,,,,,
2,person:3,1004.0,356,0,2074.0,580,599.0,,,,,,,,,,
3,car:4,1070.0,2095,2074,0.0,1494,1494.0,,,,,,,,,,
4,person:5,424.0,668,580,1494.0,0,115.0,,,,,,,,,,
5,motorcycle:6,431.0,621,599,1494.0,115,0.0,,,,,,,,,,
0,car:1,0.0,1056,1005,1077.0,426,434.0,,,,,,,,,,
1,motorcycle:2,1056.0,0,365,2107.0,672,624.0,,,,,,,,,,
2,person:3,1005.0,365,0,2082.0,579,599.0,,,,,,,,,,
3,car:4,1077.0,2107,2082,0.0,1503,1503.0,,,,,,,,,,
4,person:5,426.0,672,579,1503.0,0,118.0,,,,,,,,,,
5,motorcycle:6,434.0,624,599,1503.0,118,0.0,,,,,,,,,,
0,car:1,0.0,1060,1008,1082.0,421,436.0,,,,,,,,,,
1,motorcycle:2,1060.0,0,363,2117.0,681,627.0,,,,,,,,,,
2,person:3,1008.0,363,0,2090.0,586,596.0,,,,,,,,,,
3,car:4,1082.0,2117,2090,0.0,1504,1511.0,,,,,,,,,,
4,person:5,421.0,681,586,1504.0,0,114.0,,,,,,,,,,
5,motorcycle:6,436.0,627,596,1511.0,114,0.0,,,,,,,,,,
0,car:1,0.0,1062,1009,1088.0,418,436.0,,,,,,,,,,
1,motorcycle:2,1062.0,0,366,2125.0,688,629.0,,,,,,,,,,
2,person:3,1009.0,366,0,2097.0,591,596.0,,,,,,,,,,
3,car:4,1088.0,2125,2097,0.0,1506,1518.0,,,,,,,,,,
4,person:5,418.0,688,591,1506.0,0,115.0,,,,,,,,,,
5,motorcycle:6,436.0,629,596,1518.0,115,0.0,,,,,,,,,,
0,car:1,0.0,1062,1014,1096.0,415,437.0,,,,,,,,,,
1,motorcycle:2,1062.0,0,351,2133.0,689,628.0,,,,,,,,,,
2,person:3,1014.0,351,0,2110.0,598,599.0,,,,,,,,,,
3,car:4,1096.0,2133,2110,0.0,1511,1526.0,,,,,,,,,,
4,person:5,415.0,689,598,1511.0,0,116.0,,,,,,,,,,
5,motorcycle:6,437.0,628,599,1526.0,116,0.0,,,,,,,,,,
0,car:1,0.0,1066,1020,1102.0,424,439.0,,,,,,,,,,
1,motorcycle:2,1066.0,0,345,2143.0,686,630.0,,,,,,,,,,
2,person:3,1020.0,345,0,2123.0,597,602.0,,,,,,,,,,
3,car:4,1102.0,2143,2123,0.0,1526,1535.0,,,,,,,,,,
4,person:5,424.0,686,597,1526.0,0,116.0,,,,,,,,,,
5,motorcycle:6,439.0,630,602,1535.0,116,0.0,,,,,,,,,,
0,car:1,0.0,1068,1023,1111.0,421,439.0,,,,,,,,,,
1,motorcycle:2,1068.0,0,350,2154.0,693,632.0,,,,,,,,,,
2,person:3,1023.0,350,0,2134.0,602,604.0,,,,,,,,,,
3,car:4,1111.0,2154,2134,0.0,1531,1543.0,,,,,,,,,,
4,person:5,421.0,693,602,1531.0,0,117.0,,,,,,,,,,
5,motorcycle:6,439.0,632,604,1543.0,117,0.0,,,,,,,,,,
0,car:1,0.0,1070,1026,,423,440.0,,1119.0,,,,,,,,
1,motorcycle:2,1070.0,0,360,,696,633.0,,2163.0,,,,,,,,
2,person:3,1026.0,360,0,,603,608.0,,2145.0,,,,,,,,
3,truck:4,1119.0,2163,2145,,1541,1552.0,,0.0,,,,,,,,
4,person:5,423.0,696,603,,0,124.0,,1541.0,,,,,,,,
5,motorcycle:6,440.0,633,608,,124,0.0,,1552.0,,,,,,,,
0,car:1,0.0,705,679,261.0,320,333.0,,,,,,,,,,
1,motorcycle:2,705.0,0,192,963.0,406,373.0,,,,,,,,,,
2,person:3,679.0,192,0,940.0,358,379.0,,,,,,,,,,
3,car:4,261.0,963,940,0.0,582,590.0,,,,,,,,,,
4,person:5,320.0,406,358,582.0,0,107.0,,,,,,,,,,
5,motorcycle:6,333.0,373,379,590.0,107,0.0,,,,,,,,,,
0,car:1,0.0,1076,1030,1124.0,426,445.0,,,,,,,,,,
1,motorcycle:2,1076.0,0,366,2173.0,700,634.0,,,,,,,,,,
2,person:3,1030.0,366,0,2154.0,604,607.0,,,,,,,,,,
3,car:4,1124.0,2173,2154,0.0,1550,1563.0,,,,,,,,,,
4,person:5,426.0,700,604,1550.0,0,125.0,,,,,,,,,,
5,motorcycle:6,445.0,634,607,1563.0,125,0.0,,,,,,,,,,
0,car:1,0.0,1079,1032,1131.0,426,450.0,,,,,,,,,,
1,motorcycle:2,1079.0,0,371,2183.0,699,633.0,,,,,,,,,,
2,person:3,1032.0,371,0,2164.0,606,605.0,,,,,,,,,,
3,car:4,1131.0,2183,2164,0.0,1557,1574.0,,,,,,,,,,
4,person:5,426.0,699,606,1557.0,0,117.0,,,,,,,,,,
5,motorcycle:6,450.0,633,605,1574.0,117,0.0,,,,,,,,,,
0,car:1,0.0,1086,1036,1139.0,435,453.0,,,,,,,,,,
